JournalNum,TransDate,Voucher,AccountNum,Txt,CurrencyCode,AmountCurDebit,AmountCurCredit,AccountType,ExchRate,Dimension1,Dimension2,Dimension3,SettleVoucher,PostingProfile,PaymentStatus,CashDiscAmount,VendTransId,RemainAmount,BankDepositVoucher,OffsetAccountNum,,,PaymMode,OffsetAccountType,BankTransType,Transferred,Cancel,NoEdit,Approved,ApprovedBy,FreqValue,FreqCode,Due,Transfer,PurchLedgerPosting,Payment,SalesPrice,FurtherPostingType,PoolRecId,Prepayment,PaymentSequenceNum,AssetTransType,AssetBudgetPostingStatus,AssetDepreciationTime,DEL_PaymReconciliationRecId,FurtherPostingRecId,TaxDirectionControl,ReserveTransId,AssetSection179Trans,AssetRevaluationAmount,AssetRevaluationTrans,AssetConsumptionQty,CustVendNegInstProtestReason,BankRemittanceType,CODIGO,BALANCE
DC-037181,09/23/2008,.ADG-000045,00023109,Carga de Balance Inicial de Clientes 2,RD,0,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22457,0
DC-037181,09/23/2008,.ADG-000046,00023110,Carga de Balance Inicial de Clientes 2,RD,1358960,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22458,1358960
DC-037181,09/23/2008,.ADG-000047,00023111,Carga de Balance Inicial de Clientes 2,RD,402744,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22459,402744
DC-037181,09/23/2008,.ADG-000048,00023112,Carga de Balance Inicial de Clientes 2,RD,351355,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22460,351355
DC-037181,09/23/2008,.ADG-000049,00023113,Carga de Balance Inicial de Clientes 2,RD,15612.97,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22461,15612.97
DC-037181,09/23/2008,.ADG-000050,00023114,Carga de Balance Inicial de Clientes 2,RD,265600,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22462,265600
DC-037181,09/23/2008,.ADG-000051,00023115,Carga de Balance Inicial de Clientes 2,RD,105920,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22463,105920
DC-037181,09/23/2008,.ADG-000052,00023116,Carga de Balance Inicial de Clientes 2,RD,0,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22464,0
DC-037181,09/23/2008,.ADG-000053,00023117,Carga de Balance Inicial de Clientes 2,RD,298105,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22465,298105
DC-037181,09/23/2008,.ADG-000054,00023118,Carga de Balance Inicial de Clientes 2,RD,13700,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22466,13700
